Name,Method,Dim,N_sample,Time kNN,Recall@10
SIFT1M,brute,128.0,1000000.0,41.282148599624634,-
SIFT1M,ivfflat,128.0,1000000.0,18.921331882476807,0.8554815
SIFT1M,ivfpq,128.0,1000000.0,44.584289169311525,0.5124824
SIFT1M,ivfsq,128.0,1000000.0,16.498547267913818,0.426612
SK-1M-2d,brute,2.0,1000000.0,30.904914617538452,-
SK-1M-2d,ivfflat,2.0,1000000.0,5.721911430358887,0.6096487
SK-1M-2d,ivfpq,2.0,1000000.0,4.616009044647217,0.4919469
SK-1M-2d,ivfsq,2.0,1000000.0,7.365024900436401,0.007040599999999999
SK-1M-10d,brute,10.0,1000000.0,27.332220554351807,-
SK-1M-10d,ivfflat,10.0,1000000.0,7.409413242340088,0.9957147
SK-1M-10d,ivfpq,10.0,1000000.0,4.826994895935059,0.1585949
SK-1M-10d,ivfsq,10.0,1000000.0,7.593263339996338,0.222659
SK-1M-20d,brute,20.0,1000000.0,26.917283058166504,-
SK-1M-20d,ivfflat,20.0,1000000.0,9.217430973052979,0.8504783
SK-1M-20d,ivfpq,20.0,1000000.0,6.136717748641968,0.1647441
SK-1M-20d,ivfsq,20.0,1000000.0,7.689839315414429,0.23486694
SK-1M-40d,brute,40.0,1000000.0,31.35142707824707,-
SK-1M-40d,ivfflat,40.0,1000000.0,13.118904733657837,0.4432479
SK-1M-40d,ivfpq,40.0,1000000.0,8.776711130142212,0.1561398
SK-1M-40d,ivfsq,40.0,1000000.0,9.044043445587159,0.2187926
SK-2M-2d,brute,2.0,2000000.0,117.85883903503418,-
SK-2M-2d,ivfflat,2.0,2000000.0,15.985024881362914,0.47161574999999994
SK-2M-2d,ivfpq,2.0,2000000.0,6.9852110862731935,0.352838
SK-2M-2d,ivfsq,2.0,2000000.0,21.573202896118165,0.00459788
SK-5M-2d,brute,2.0,5000000.0,715.3139865398407,-
SK-5M-2d,ivfflat,2.0,5000000.0,84.02722959518432,0.32059232
SK-5M-2d,ivfpq,2.0,5000000.0,16.784680891036988,0.21592002
SK-5M-2d,ivfsq,2.0,5000000.0,113.23864035606384,0.00154714
SK-10M-2d,brute,2.0,10000000.0,2836.8624863624573,-
SK-10M-2d,ivfflat,2.0,10000000.0,245.59665355682372,0.23775081
SK-10M-2d,ivfpq,2.0,10000000.0,36.80954880714417,0.14601346
SK-10M-2d,ivfsq,2.0,10000000.0,329.66634311676023,0.00056904
